state,office,updated_at,eevp,place,level,candidate_id,party,votes_total
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Bristol,township,murphy-c,Democrat,14321
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Bristol,township,corey-m,Republican,12918
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Bristol,township,finley_hyde-r,Independent,354
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Bristol,township,paglino-j,Green,245
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Hamden,township,murphy-c,Democrat,19958
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Hamden,township,corey-m,Republican,6266
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Hamden,township,paglino-j,Green,322
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Hamden,township,finley_hyde-r,Independent,221
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Southington,township,corey-m,Republican,12861
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Southington,township,murphy-c,Democrat,12796
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Southington,township,finley_hyde-r,Independent,189
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Southington,township,paglino-j,Green,160
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Manchester,township,murphy-c,Democrat,17187
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Manchester,township,corey-m,Republican,8161
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Manchester,township,paglino-j,Green,302
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Manchester,township,finley_hyde-r,Independent,282
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Stratford,township,murphy-c,Democrat,16146
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Stratford,township,corey-m,Republican,9228
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Stratford,township,finley_hyde-r,Independent,270
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Stratford,township,paglino-j,Green,164
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Hartford,township,murphy-c,Democrat,21280
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Hartford,township,corey-m,Republican,3418
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Hartford,township,finley_hyde-r,Independent,282
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Hartford,township,paglino-j,Green,278
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Meriden,township,murphy-c,Democrat,13604
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Meriden,township,corey-m,Republican,8730
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Meriden,township,finley_hyde-r,Independent,277
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Meriden,township,paglino-j,Green,206
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Shelton,township,corey-m,Republican,11773
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Shelton,township,murphy-c,Democrat,10515
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Shelton,township,finley_hyde-r,Independent,201
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Shelton,township,paglino-j,Green,172
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Trumbull,township,murphy-c,Democrat,11954
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Trumbull,township,corey-m,Republican,9840
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Trumbull,township,paglino-j,Green,182
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Trumbull,township,finley_hyde-r,Independent,153
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Middletown,township,murphy-c,Democrat,13863
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Middletown,township,corey-m,Republican,6974
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Middletown,township,paglino-j,Green,310
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Middletown,township,finley_hyde-r,Independent,238
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,New Britain,township,murphy-c,Democrat,13798
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,New Britain,township,corey-m,Republican,6842
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,New Britain,township,finley_hyde-r,Independent,292
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,New Britain,township,paglino-j,Green,264
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Glastonbury,township,murphy-c,Democrat,13076
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Glastonbury,township,corey-m,Republican,7823
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Glastonbury,township,paglino-j,Green,171
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Glastonbury,township,finley_hyde-r,Independent,119
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Enfield,township,murphy-c,Democrat,10574
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Enfield,township,corey-m,Republican,8638
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Enfield,township,finley_hyde-r,Independent,234
